Altitude Interval,Base Altitude,Scale Height,Nominal Density
0 - 25,0,7.249,1.2225
25 - 30,25,6.349,3.899e-2
30 - 40,30,6.682,1.774e-2
40 - 50,40,7.554,3.972e-3
50 - 60,50,8.382,1.057E-03
60 - 70,60,7.714,3.206E-04
70 - 80,70,6.549,8.77E-05
80 - 90,80,5.799,1.905E-05
90 - 100,90,5.382,3.396E-06
100 - 110,100,5.877,5.297E-07
110 - 120,110,7.263,9.661E-08
120 - 130,120,9.473,2.438E-08
130 - 140,130,12.636,8.484E-09
140 - 150,140,16.149,3.845E-09
150 - 180,150,22.523,2.07E-09
180 - 200,180,29.74,5.464E-10
200 - 250,200,37.105,2.789E-10
250 - 300,250,45.546,7.248E-11
300 - 350,300,53.628,2.418E-11
350 - 400,350,53.298,9.518E-12
400 - 450,400,58.515,3.725E-12
450 - 500,450,60.828,1.585E-12
500 - 600,500,63.822,6.967E-13
600 - 700,600,71.835,1.454E-13
700 - 800,700,88.667,3.614E-14
800 - 900,800,124.64,1.17E-14
900 - 1000,900,181.05,5.245E-15
1000+,1000,268,3.019E-15
