freq,Accel,Force,Arg(Accel),Arg(Force)
5,0.000068,0.0005412,-126.998695,89.793857
6,0.0000997,0.0005178,-224.1342875,83.3286245
7,0.0000747,0.0004994,72.6507108,104.049812
8,0.0000601,0.0003893,87.4711555,-96.5179912
9,0.0000706,0.0001673,113.7257694,-125.5102994
10,0.0000675,0.000278,156.5073132,-114.3749894
11,0.0000704,0.0006223,-1.2261068,193.5260824
12,0.0000558,0.0013198,-60.6741947,53.731212
13,0.0000544,0.0023141,-44.7876002,42.6036865
14,0.0000724,0.0036526,-59.0841547,-149.4711049
15,0.0001025,0.0054258,171.9034737,-160.0420495
16,0.0000827,0.0080189,-6.0375066,7.5855325
17,0.0001181,0.0096898,28.672814,-11.3645691
18,0.0001533,0.0129032,-72.7408188,-200.1980671
19,0.0001824,0.0188765,-112.1626906,-209.2607918
20,0.0001439,0.021471,20.2914213,-67.6388001
21,0.0001352,0.0211245,14.5268391,-98.518264
22,0.0001437,0.0184519,176.8544536,55.137891
23,0.00019,0.018323,-43.9541417,56.6574371
24,0.0001612,0.0152035,77.8552261,-145.6625423
25,0.0000922,0.0124155,102.5138759,-163.6953736
26,0.0002058,0.0108776,-89.4769026,7.3763376
27,0.0002416,0.0096945,-20.3907974,-1.5482288
28,0.0003182,0.0078572,192.8172099,-190.8300602
29,0.0002509,0.0055215,-141.8954124,-204.5750364
30,0.0002292,0.0030082,89.3611863,-37.7454387
31,0.0002247,0.0018302,137.7586853,15.5658774
32,0.0002623,0.0041436,-70.6152734,223.1198605
33,0.0002185,0.0072756,20.972157,-98.4718995
34,0.0002125,0.0103518,-120.5631845,75.018468
35,0.0002043,0.0128071,9.3755641,60.4650295
36,0.0002659,0.0141579,-49.9979937,-135.8184414
37,0.0001155,0.0148114,76.4475951,-151.2689447
38,0.0001126,0.0151351,-69.3425919,15.8143134
39,0.0001077,0.0154786,-96.9035671,6.8369064
40,0.000103,0.0150551,50.2680045,-185.4602
41,0.0001235,0.0149909,37.6563627,-189.7488493
42,0.0000906,0.0142577,161.8848045,-23.2636502
43,0.0001516,0.0136193,-126.775841,-30.0849452
44,0.0001286,0.0131754,47.1620691,-217.5376587
45,0.0000874,0.0125046,0.3718577,-225.8271697
46,0.0001177,0.0117524,-168.1657269,-52.1132777
47,0.0000978,0.0109077,-171.0355674,-60.5825661
48,0.0001067,0.00939,83.1860339,108.4716024
49,0.0011401,0.0076176,148.8355743,96.3372813
50,0.2896123,0.0055987,41.5412964,-95.2582339
51,0.2896412,0.0032029,48.0902671,-104.0991007
52,0.2895964,0.0015055,56.5864989,92.5018611
53,0.2895876,0.0025308,65.6035913,142.3204937
54,0.289264,0.0042658,74.3389295,6.6133073
55,0.2892263,0.005809,80.8981837,6.3135031
56,0.2892936,0.0072548,85.2859987,-177.029807
57,0.2892314,0.0084983,88.1407004,-182.7859871
58,0.2892703,0.0095547,88.8906809,-8.757557
59,0.2893031,0.0102049,89.5429041,-14.1181517
60,0.2892929,0.0110182,91.3337788,-200.7278817
61,0.2884108,0.0112442,92.7413667,-208.1624956
62,0.2893281,0.0117523,95.3757199,-33.9963919
63,0.289382,0.0120262,97.6451577,-40.8070266
64,0.2894685,0.0125188,99.8551192,-222.9983217
65,0.28945,0.012856,103.2523978,-228.4502144
66,0.2895206,0.0133917,106.5764962,-56.4316346
67,0.2895104,0.0137648,111.4547176,-59.4117717
68,0.289497,0.0137987,118.2227903,110.7716257
69,0.2893859,0.0136303,124.8739923,102.1455105
70,0.2892292,0.0134418,131.8388343,-85.8999936
71,0.0015795,0.0131512,-175.9603728,-93.2625299
72,0.0001247,0.0127881,16.492159,80.7100375
73,0.0000732,0.0124739,-18.4021539,75.7841403
74,0.0000643,0.0122109,110.7715776,-109.2134433
75,0.000097,0.0119788,-211.9602059,-112.9607378
76,0.0000548,0.0116219,-100.8409244,62.5144872
77,0.0000921,0.0112869,-27.4601911,56.9063708
78,0.0001056,0.0109888,-237.5506575,-123.8479661
79,0.0000958,0.010675,137.353355,-127.7672553
80,0.0001089,0.0104671,-73.1013215,46.8454246
81,0.0001152,0.0103273,-107.2211453,44.008491
82,0.0001177,0.010004,131.7406663,-138.0691034
83,0.0006268,0.0098715,137.4177047,-141.7707738
84,0.0001575,0.0100402,219.4351906,37.9479355
85,0.0001017,0.0097419,-56.6899228,33.2978337
86,0.0000675,0.0096167,70.2802069,-151.9198431
87,0.0000921,0.0099794,217.887381,-151.3437433
88,0.0001133,0.0097512,-54.2400863,22.9342864
89,0.0000677,0.0091853,-96.7475871,20.2786876
90,0.0001229,0.0089233,-39.0524899,-162.1226
91,0.0001766,0.0088946,12.9768524,-165.2443652
92,0.0000813,0.0087069,-63.7047767,12.3069731
93,0.0001036,0.0081854,-83.3509003,10.0465782
94,0.0000853,0.0080993,75.9362474,-169.7544611
95,0.000102,0.0074902,94.9462797,-174.5959641
96,0.0000944,0.007419,213.2188154,3.6775604
97,0.0000935,0.007465,-109.7831051,2.4354299
98,0.0000971,0.0073313,181.5796876,-183.7086214
99,0.0000908,0.0071354,76.6801481,-183.6892174
100,0.0000865,0.0069283,-114.1352094,-9.3628496
